moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,rating,seed
173,43,31,12,24,1,0.2441860465116279,1743700651367
203,42,25,13,14,4,0.2029702970297029,1743699877260
177,42,23,14,15,1,0.2329545454545454,1743700094276
137,41,22,24,16,2,0.2941176470588235,1743699659870
163,40,23,12,16,2,0.2407407407407407,1743700441955
159,40,24,16,17,2,0.2468354430379747,1743700181334
285,40,30,16,21,1,0.1373239436619718,1743700067626
155,40,23,12,17,1,0.2532467532467532,1743700250332
236,40,26,19,17,1,0.1659574468085106,1743700370547
263,40,25,11,21,3,0.148854961832061,1743699805858
173,39,19,20,13,1,0.2209302325581395,1743700324425
206,39,27,12,15,4,0.1853658536585365,1743700371147
185,39,26,14,17,1,0.2065217391304347,1743700695318
140,39,22,18,13,3,0.2733812949640288,1743700431954
166,39,23,9,12,2,0.2303030303030303,1743700694673
193,39,27,13,21,3,0.1979166666666666,1743700116950
167,38,24,10,14,1,0.2228915662650602,1743700405213
208,38,19,12,11,1,0.178743961352657,1743700729959
207,38,22,21,16,1,0.1796116504854369,1743699616899
216,38,25,16,15,3,0.1720930232558139,1743700560899
120,37,19,13,12,1,0.3025210084033613,1743700750090
231,37,24,9,16,3,0.1565217391304348,1743700270765
212,37,25,15,15,2,0.1706161137440758,1743700744883
182,37,26,10,21,5,0.1988950276243093,1743699747332
199,37,21,10,12,1,0.1818181818181818,1743699805558
123,37,19,10,14,2,0.2950819672131147,1743699752365
234,36,26,11,16,2,0.1502145922746781,1743699846465
248,35,27,16,15,3,0.1376518218623481,1743700045223
178,35,24,7,12,5,0.192090395480226,1743700267936
259,35,23,8,16,2,0.1317829457364341,1743700044329
199,35,27,13,21,3,0.1717171717171717,1743700120661
193,34,23,14,17,2,0.171875,1743700741552
185,34,23,3,15,2,0.1793478260869565,1743699972011
232,34,27,18,17,1,0.1428571428571428,1743700792782
192,34,25,9,19,1,0.1727748691099476,1743699997910
140,33,22,11,17,3,0.2302158273381295,1743700696813
143,33,19,11,9,3,0.2253521126760563,1743700792508
227,33,26,17,13,2,0.1415929203539823,1743700732011
155,33,20,12,17,2,0.2077922077922078,1743699965282
173,33,23,15,18,1,0.1860465116279069,1743699553852
226,33,28,16,20,5,0.1422222222222222,1743699591097
125,32,16,6,11,3,0.25,1743699670112
171,32,24,11,20,4,0.1823529411764705,1743700044896
189,32,20,9,14,2,0.1648936170212765,1743700633900
112,32,21,14,5,3,0.2792792792792792,1743700636450
138,32,17,22,9,1,0.2262773722627737,1743700715388
