moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,rating,seed
163,32,25,11,16,3,0.7741935483870968,1743702348020
258,33,25,9,16,2,0.75,1743701996215
200,44,25,20,18,3,0.5581395348837209,1743701757375
189,45,25,15,14,1,0.5454545454545454,1743702839058
176,34,24,9,19,3,0.696969696969697,1743701783349
148,30,24,12,14,0,0.7931034482758621,1743701307180
218,29,24,9,17,0,0.8214285714285714,1743702360365
204,38,24,13,12,0,0.6216216216216216,1743702363993
241,44,24,12,14,1,0.5348837209302325,1743702564089
144,34,24,14,14,2,0.696969696969697,1743702559718
270,37,24,11,17,2,0.6388888888888888,1743702290477
276,32,24,11,21,1,0.7419354838709677,1743701745537
239,39,23,22,14,5,0.5789473684210527,1743702081038
155,36,23,11,12,2,0.6285714285714286,1743702223249
188,30,23,10,19,2,0.7586206896551724,1743702184706
243,47,23,11,14,2,0.4782608695652174,1743702759547
227,31,22,9,14,3,0.7,1743701756996
181,31,22,7,14,3,0.7,1743701746057
156,34,22,12,12,2,0.6363636363636364,1743702831770
182,33,22,7,11,3,0.65625,1743702828670
230,49,22,19,13,0,0.4375,1743702793871
131,33,22,6,12,3,0.65625,1743702237592
151,29,22,13,11,3,0.75,1743702348337
264,35,21,9,10,3,0.5882352941176471,1743702239309
114,30,21,13,14,2,0.6896551724137931,1743702389002
196,33,21,7,15,2,0.625,1743702186231
119,36,21,13,15,2,0.5714285714285714,1743701756736
225,28,21,5,18,2,0.7407407407407407,1743702451530
239,32,21,4,15,4,0.6451612903225806,1743702759870
210,29,21,11,13,2,0.7142857142857143,1743701343194
181,33,21,11,12,2,0.625,1743701995925
166,27,21,8,15,1,0.7692307692307693,1743702041977
188,38,21,13,11,0,0.5405405405405406,1743701932974
264,41,21,9,12,0,0.5,1743701433904
164,45,21,20,16,3,0.4545454545454545,1743702731958
205,34,20,12,16,4,0.5757575757575758,1743702611631
121,33,20,10,12,3,0.59375,1743701307389
136,28,20,14,13,1,0.7037037037037037,1743702385533
136,31,20,11,16,0,0.6333333333333333,1743702207761
210,29,20,9,13,3,0.6785714285714286,1743702264191
205,45,20,16,11,1,0.4318181818181818,1743702385780
170,28,20,10,11,5,0.7037037037037037,1743702795041
167,25,20,9,15,2,0.7916666666666666,1743702314560
157,25,19,8,11,4,0.75,1743701729177
152,28,19,15,12,1,0.6666666666666666,1743701431397
173,24,19,8,15,5,0.782608695652174,1743701926212
205,25,19,4,14,3,0.75,1743702833940
140,30,19,14,12,1,0.6206896551724138,1743702543875
150,38,19,13,9,4,0.4864864864864865,1743702851575
137,35,19,15,10,2,0.5294117647058824,1743702214694
213,30,19,9,12,2,0.6206896551724138,1743702356886
130,32,19,8,13,0,0.5806451612903226,1743702298348
132,27,19,10,12,2,0.6923076923076923,1743702238294
186,36,19,18,13,3,0.5142857142857142,1743702169512
148,29,19,11,15,3,0.6428571428571429,1743701801141
152,29,18,8,12,0,0.6071428571428571,1743701794439
121,23,18,6,10,2,0.7727272727272727,1743701973743
113,20,18,5,13,2,0.8947368421052632,1743702761962
180,27,18,3,12,1,0.6538461538461539,1743702373171
182,20,18,3,15,2,0.8947368421052632,1743702821182
116,27,18,18,9,3,0.6538461538461539,1743702607196
180,24,18,11,12,3,0.7391304347826086,1743702833342
142,26,18,8,12,2,0.68,1743702207281
128,27,18,10,13,1,0.6538461538461539,1743702298102
124,28,18,9,11,3,0.6296296296296297,1743702336414
138,19,18,4,14,1,0.9444444444444444,1743701756506
252,29,18,5,12,3,0.6071428571428571,1743701736890
100,31,17,12,14,4,0.5333333333333333,1743702610943
160,32,17,6,11,3,0.5161290322580645,1743702605451
145,28,17,13,12,1,0.5925925925925926,1743702364227
146,30,17,12,9,3,0.5517241379310345,1743702263227
100,26,17,7,14,5,0.64,1743702167632
142,23,17,8,11,2,0.7272727272727273,1743702314894
123,23,17,8,12,2,0.7272727272727273,1743702238631
150,25,17,5,14,2,0.6666666666666666,1743702001463
196,30,17,4,11,2,0.5517241379310345,1743701736585
142,26,17,10,12,3,0.64,1743702845786
142,22,17,5,16,4,0.7619047619047619,1743702784266
171,30,17,13,8,1,0.5517241379310345,1743701795006
158,24,17,7,12,3,0.6956521739130435,1743702080468
92,24,17,5,9,2,0.6956521739130435,1743701800483
119,23,16,6,7,2,0.6818181818181818,1743701342682
112,19,16,5,12,3,0.8333333333333334,1743701460658
100,23,16,7,14,3,0.6818181818181818,1743701993079
150,28,16,6,11,4,0.5555555555555556,1743701926483
80,21,16,9,8,3,0.75,1743701761339
133,38,16,7,11,2,0.4054054054054054,1743702451281
123,20,16,5,11,1,0.7894736842105263,1743702389297
92,22,16,4,7,1,0.7142857142857143,1743702560408
101,21,16,5,14,5,0.75,1743702664077
104,23,16,11,10,0,0.6818181818181818,1743702762904
128,28,16,6,11,3,0.5555555555555556,1743702424861
139,24,16,13,8,0,0.6521739130434783,1743702351049
129,23,16,11,8,3,0.6818181818181818,1743702264444
112,26,16,5,9,1,0.6,1743702559218
110,23,15,5,8,3,0.6363636363636364,1743702850885
133,23,15,10,10,4,0.6363636363636364,1743702731455
128,20,15,4,11,2,0.7368421052631579,1743702658259
146,19,15,5,9,3,0.7777777777777778,1743702586471
133,20,15,3,8,1,0.7368421052631579,1743702237827
154,18,15,3,10,4,0.8235294117647058,1743701801353
120,20,15,3,8,2,0.7368421052631579,1743701594378
164,36,15,11,10,3,0.4,1743701771668
180,28,15,12,11,1,0.5185185185185185,1743701313311
106,21,15,7,10,3,0.7,1743701342450
159,19,15,8,12,1,0.7777777777777778,1743702041758
91,21,15,6,9,4,0.7,1743702169240
154,37,15,12,8,2,0.3888888888888889,1743702559950
83,23,14,9,7,3,0.5909090909090909,1743702557276
163,19,14,4,9,1,0.7222222222222222,1743702425118
97,19,14,7,12,2,0.7222222222222222,1743702263492
113,23,14,4,9,3,0.5909090909090909,1743702214904
129,27,14,12,11,3,0.5,1743701436346
101,20,14,5,9,1,0.6842105263157895,1743701499234
118,20,14,4,11,3,0.6842105263157895,1743701922459
100,22,14,5,6,2,0.6190476190476191,1743701312794
106,20,14,7,10,1,0.6842105263157895,1743702851340
110,26,14,5,9,0,0.52,1743702559450
114,22,14,6,10,5,0.6190476190476191,1743702360098
146,22,14,3,8,3,0.6190476190476191,1743702317995
102,16,14,6,11,2,0.8666666666666667,1743702210790
93,21,14,4,9,1,0.65,1743702188524
93,17,14,4,9,2,0.8125,1743702350724
111,26,13,8,9,4,0.48,1743702794510
69,19,13,6,7,2,0.6666666666666666,1743702832069
93,27,13,9,7,2,0.4615384615384615,1743701922923
137,19,13,5,10,1,0.6666666666666666,1743701789429
117,20,13,1,7,4,0.631578947368421,1743702082332
97,19,13,7,9,0,0.6666666666666666,1743702264983
109,20,13,4,8,1,0.631578947368421,1743702263736
102,22,13,7,8,3,0.5714285714285714,1743702211061
157,20,13,8,7,4,0.631578947368421,1743702259762
104,15,13,5,6,2,0.8571428571428571,1743702207999
73,17,12,8,5,2,0.6875,1743701800274
66,16,12,1,8,2,0.7333333333333333,1743702830682
102,34,12,4,7,3,0.3333333333333333,1743702560946
107,15,12,7,8,1,0.7857142857142857,1743702553611
105,19,12,8,8,2,0.6111111111111112,1743702167382
76,18,12,9,7,2,0.6470588235294118,1743701986706
92,18,12,6,6,2,0.6470588235294118,1743702038887
98,25,12,10,7,2,0.4583333333333333,1743702349615
77,17,11,5,6,0,0.625,1743701343442
68,14,11,6,5,2,0.7692307692307693,1743702424382
80,14,11,3,6,2,0.7692307692307693,1743701761796
68,14,11,6,5,1,0.7692307692307693,1743702238044
83,17,11,1,7,0,0.625,1743702372405
51,19,10,8,7,4,0.5,1743701771920
91,17,10,4,5,2,0.5625,1743702214458
96,16,9,7,5,3,0.5333333333333333,1743702789939
46,11,7,6,3,2,0.6,1743702831312
