moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,rating,seed
226,36,25,9,18,4.0,0.4857142857142857,1743698038421
198,36,25,10,18,3.0,0.4857142857142857,1743698294362
166,38,27,15,18,3.0,0.4594594594594595,1743698486288
191,36,24,15,17,1.0,0.4571428571428571,1743698332549
254,55,30,20,17,1.0,0.2962962962962963,1743698299851
239,37,25,11,17,2.0,0.4444444444444444,1743698414651
257,78,37,34,17,2.0,0.2077922077922078,1743698241663
151,40,24,16,17,3.0,0.4102564102564102,1743697861127
146,32,24,8,17,1.0,0.5161290322580645,1743698188988
108,32,23,12,17,4.0,0.5161290322580645,1743697831855
205,36,26,7,17,2.0,0.4571428571428571,1743697980242
204,38,23,9,17,4.0,0.4324324324324324,1743698475320
165,28,21,7,17,2.0,0.5925925925925926,1743698073480
129,36,22,15,17,1.0,0.4571428571428571,1743698742519
227,27,19,14,17,2.0,0.6153846153846154,1743698397903
240,35,23,13,17,3.0,0.4705882352941176,1743698137644
206,39,22,18,16,2.0,0.3947368421052631,1743697938072
156,27,20,11,16,0.0,0.5769230769230769,1743698399992
108,26,22,11,16,4.0,0.6,1743698018058
178,51,28,17,16,1.0,0.3,1743697997242
155,26,18,9,16,1.0,0.6,1743698016489
177,34,23,11,16,3.0,0.4545454545454545,1743697877837
136,36,24,13,16,3.0,0.4285714285714285,1743697860580
172,39,25,12,16,0.0,0.3947368421052631,1743697905338
115,26,21,5,16,4.0,0.6,1743698328621
160,45,24,19,15,2.0,0.3181818181818182,1743698435206
142,46,24,17,15,3.0,0.3111111111111111,1743698383103
131,23,19,3,15,3.0,0.6363636363636364,1743698183523
191,30,22,11,15,2.0,0.4827586206896552,1743698019111
188,32,21,8,15,2.0,0.4516129032258064,1743698484489
159,27,20,6,15,3.0,0.5384615384615384,1743698458132
129,28,21,8,15,2.0,0.5185185185185185,1743698573057
229,47,29,20,15,3.0,0.3043478260869565,1743698475624
133,40,23,13,15,1.0,0.358974358974359,1743698322035
191,41,24,14,15,3.0,0.35,1743698287797
145,25,18,10,15,2.0,0.5833333333333334,1743698742809
188,45,22,11,14,2.0,0.2954545454545454,1743698039200
96,24,19,3,14,4.0,0.5652173913043478,1743697979931
189,38,23,8,14,4.0,0.3513513513513513,1743698462000
124,28,20,8,14,4.0,0.4814814814814814,1743697860842
219,27,20,8,14,2.0,0.5,1743698018368
165,30,26,9,14,4.0,0.4482758620689655,1743698759070
263,38,22,12,14,3.0,0.3513513513513513,1743698328056
108,29,21,18,14,3.0,0.4642857142857143,1743698159468
123,27,22,6,14,3.0,0.5,1743698456436
135,36,21,10,14,2.0,0.3714285714285714,1743697878131
195,43,26,19,14,2.0,0.3095238095238095,1743698363894
197,29,22,7,14,2.0,0.4642857142857143,1743698671043
155,25,15,7,14,3.0,0.5416666666666666,1743698414246
146,26,18,5,14,1.0,0.52,1743697827266
138,28,19,14,13,3.0,0.4444444444444444,1743698037464
229,31,21,10,13,2.0,0.4,1743697762900
133,26,19,6,13,3.0,0.48,1743698328362
163,25,20,6,13,1.0,0.5,1743697884275
129,30,17,12,13,2.0,0.4137931034482758,1743698024074
150,39,25,14,13,0.0,0.3157894736842105,1743697883160
193,37,25,14,13,2.0,0.3333333333333333,1743698484803
135,37,22,9,13,3.0,0.3333333333333333,1743698671595
141,25,20,8,13,1.0,0.5,1743698363620
180,33,23,11,13,3.0,0.375,1743698413537
175,37,21,14,13,3.0,0.3333333333333333,1743698073792
146,28,22,12,13,0.0,0.4444444444444444,1743698339577
116,37,20,15,13,2.0,0.3333333333333333,1743698325456
168,25,22,8,13,1.0,0.5,1743698310157
139,29,18,15,12,1.0,0.3928571428571428,1743698710635
140,33,19,11,12,1.0,0.34375,1743698339850
113,28,20,12,12,3.0,0.4074074074074074,1743698714254
118,28,17,6,12,3.0,0.4074074074074074,1743698629484
146,32,19,12,12,1.0,0.3548387096774194,1743698188544
126,24,19,13,12,0.0,0.4782608695652174,1743697749986
129,20,17,5,12,2.0,0.5789473684210527,1743697814940
124,19,14,3,12,2.0,0.6111111111111112,1743698554245
197,45,15,16,12,2.0,0.25,1743698069501
144,24,19,3,12,1.0,0.4782608695652174,1743698073220
94,17,16,4,12,1.0,0.6875,1743698026253
145,27,18,7,12,0.0,0.4230769230769231,1743698365899
124,22,15,4,12,2.0,0.5238095238095238,1743698393336
135,24,16,10,12,0.0,0.4782608695652174,1743698447271
129,24,18,6,12,1.0,0.4782608695652174,1743697995731
