moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,fDiv,fEmp,rating,seed
142,21,15,6,11,3,0.8697010262906338,45,0.6369284152986127,1743757335244
240,37,25,12,16,0,0.8785912020855529,43,0.6353764275602479,1743758069559
101,29,20,4,15,3,0.8762108486554843,41,0.6329041883697605,1743757613277
231,38,28,16,17,2,0.8780119811139235,47,0.6327089419901588,1743758042854
248,44,30,16,18,0,0.8789287823979963,45,0.6324024107281141,1743758000899
112,17,13,5,9,3,0.8846730855843362,42,0.6319277569173143,1743757503214
279,58,37,33,25,2,0.8689483507110679,45,0.6318480603278123,1743757369734
308,49,30,30,22,3,0.8747384893135441,46,0.6313076027266106,1743757297884
197,33,22,10,16,3,0.8787369181049289,48,0.6294301229336104,1743757353203
220,41,26,16,17,0,0.8688225463696714,44,0.6283710513670919,1743756945273
43,13,10,2,7,3,0.8822443196590654,45,0.6276565573687358,1743758070423
177,33,21,9,17,3,0.8689416589730389,41,0.627615262062664,1743757994945
105,28,19,8,15,4,0.8614366788046138,43,0.6275562623558139,1743757149042
124,18,16,6,8,2,0.8838610874472379,47,0.6269940315086193,1743757272608
167,27,20,12,13,4,0.879403084460841,49,0.6263306072028134,1743757721013
336,58,38,24,23,1,0.8727165457448797,44,0.6252803501116666,1743757332851
98,22,14,4,11,2,0.8801469213011188,46,0.6245314345149644,1743757354043
218,39,23,13,17,1,0.8676161403194682,41,0.6242137414305993,1743757275278
92,22,17,9,9,1,0.8700230948352247,48,0.6233067001000229,1743757297594
149,31,20,10,14,1,0.8756702654341828,42,0.6228286736513864,1743756956301
260,43,26,15,20,3,0.881266355089188,46,0.6224078774962095,1743758135627
137,20,14,5,9,1,0.8834451938606858,49,0.6221289437646729,1743757142641
112,26,17,9,13,3,0.8793190239784123,44,0.6219397563954445,1743757293255
196,31,23,7,14,2,0.8706390370532762,46,0.6215904458537085,1743758094506
103,15,11,1,7,0,0.8724835078754123,42,0.6213671043491221,1743758070693
188,27,20,8,11,1,0.885089246371097,50,0.6207481034378134,1743757993638
167,28,19,11,13,3,0.8756429290885756,47,0.6193106896548056,1743757034326
133,26,18,5,12,2,0.8796814579775624,45,0.6186421967453342,1743756866263
213,52,30,24,22,2,0.8796446249071435,46,0.6184972251157111,1743757366517
93,21,14,10,9,1,0.8858681037434312,46,0.6184965031887717,1743757257521
97,21,14,8,9,1,0.870695247737114,47,0.6180252474586118,1743757192158
161,23,17,11,9,1,0.8787756749172577,48,0.6178839919949072,1743758539348
175,27,18,12,11,1,0.8809181459273329,49,0.6177816994039678,1743757308249
218,35,25,7,15,1,0.881802866508193,47,0.6177520954133653,1743757263093
87,22,16,5,10,2,0.8791428322749814,48,0.6169478973759651,1743757500633
106,17,12,9,8,3,0.8817824323681294,48,0.6168681319945617,1743757929131
150,27,17,9,13,3,0.8692105180794909,42,0.6168430003790993,1743757308552
143,25,17,14,11,3,0.8740340007166241,44,0.6161519798732713,1743756840299
83,13,9,5,6,1,0.8747966705409873,45,0.6133241102999298,1743757557381
462,70,48,21,26,1,0.8774141208463865,46,0.6129152788817082,1743757488643
87,19,12,8,8,1,0.8745858137272088,45,0.6126738056590401,1743757457222
196,28,20,11,13,4,0.8796814579775623,45,0.6126693957011449,1743758004961
104,28,18,9,13,3,0.8791631424735687,44,0.6121547326339128,1743757500924
79,21,13,10,10,4,0.8864266445969488,41,0.6116801971282385,1743757684873
179,34,21,12,13,0,0.8850054407617097,48,0.611397091478242,1743757034009
267,34,22,15,13,1,0.8731167591314994,46,0.6102407193405316,1743757916780
71,17,10,3,8,1,0.8838610874472381,47,0.6100701602236581,1743757191896
201,37,25,15,16,3,0.8797696395007862,51,0.6097126835412617,1743757219082
183,30,21,11,14,4,0.8501576180691839,39,0.6096918977387471,1743757533318
