=== 3x6 ===
MOVES: 37 | PUSHES: 8 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 53 | PUSHES: 9 | DIR PUSHES: 4 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 48 | PUSHES: 17 | DIR PUSHES: 8 | REV PUSHES: 6 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 103 | PUSHES: 27 | DIR PUSHES: 12 | REV PUSHES: 8 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 66 | PUSHES: 12 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 44 | PUSHES: 10 | DIR PUSHES: 5 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 37 | PUSHES: 13 | DIR PUSHES: 7 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 55 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 7 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 112 | PUSHES: 31 | DIR PUSHES: 18 | REV PUSHES: 16 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 35 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 71 | PUSHES: 18 | DIR PUSHES: 11 | REV PUSHES: 6 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 47 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 59 | PUSHES: 10 | DIR PUSHES: 9 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 48 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 4 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 46 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 28 | PUSHES: 6 | DIR PUSHES: 5 | REV PUSHES: 4 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 61 | PUSHES: 11 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 47 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 0
MOVES: 54 | PUSHES: 18 | DIR PUSHES: 9 | REV PUSHES: 8 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 34 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 27 | PUSHES: 9 | DIR PUSHES: 5 | REV PUSHES: 3 | BOX CHANGES: 1 | CORNER GOALS: 3
MOVES: 49 | PUSHES: 17 | DIR PUSHES: 7 | REV PUSHES: 7 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 30 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 0
MOVES: 80 | PUSHES: 17 | DIR PUSHES: 12 | REV PUSHES: 8 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 80 | PUSHES: 21 | DIR PUSHES: 13 | REV PUSHES: 11 | BOX CHANGES: 7 | CORNER GOALS: 1
MOVES: 62 | PUSHES: 10 | DIR PUSHES: 10 | REV PUSHES: 5 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 75 | PUSHES: 15 | DIR PUSHES: 9 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 70 | PUSHES: 21 | DIR PUSHES: 13 | REV PUSHES: 8 | BOX CHANGES: 6 | CORNER GOALS: 0
MOVES: 54 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 6 | BOX CHANGES: 7 | CORNER GOALS: 1
MOVES: 54 | PUSHES: 17 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 76 | PUSHES: 15 | DIR PUSHES: 11 | REV PUSHES: 2 | BOX CHANGES: 9 | CORNER GOALS: 3
MOVES: 94 | PUSHES: 19 | DIR PUSHES: 15 | REV PUSHES: 7 | BOX CHANGES: 11 | CORNER GOALS: 1
MOVES: 56 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 71 | PUSHES: 19 | DIR PUSHES: 11 | REV PUSHES: 9 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 57 | PUSHES: 18 | DIR PUSHES: 12 | REV PUSHES: 7 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 33 | PUSHES: 6 | DIR PUSHES: 4 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 0
MOVES: 34 | PUSHES: 5 | DIR PUSHES: 4 | REV PUSHES: 2 | BOX CHANGES: 1 | CORNER GOALS: 3
MOVES: 54 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 3 | BOX CHANGES: 8 | CORNER GOALS: 3
MOVES: 55 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 5 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 36 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 62 | PUSHES: 21 | DIR PUSHES: 9 | REV PUSHES: 8 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 47 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 4 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 55 | PUSHES: 16 | DIR PUSHES: 11 | REV PUSHES: 4 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 49 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 47 | PUSHES: 14 | DIR PUSHES: 9 | REV PUSHES: 12 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 66 | PUSHES: 15 | DIR PUSHES: 8 | REV PUSHES: 5 | BOX CHANGES: 2 | CORNER GOALS: 0
MOVES: 58 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 5 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 156 | PUSHES: 29 | DIR PUSHES: 18 | REV PUSHES: 8 | BOX CHANGES: 11 | CORNER GOALS: 2
MOVES: 59 | PUSHES: 15 | DIR PUSHES: 11 | REV PUSHES: 5 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 33 | PUSHES: 9 | DIR PUSHES: 5 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 0
MOVES: 44 | PUSHES: 14 | DIR PUSHES: 11 | REV PUSHES: 4 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 68 | PUSHES: 13 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 55 | PUSHES: 14 | DIR PUSHES: 8 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 32 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 64 | PUSHES: 17 | DIR PUSHES: 7 | REV PUSHES: 5 | BOX CHANGES: 2 | CORNER GOALS: 0
MOVES: 41 | PUSHES: 13 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 43 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 0
MOVES: 30 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 110 | PUSHES: 17 | DIR PUSHES: 12 | REV PUSHES: 9 | BOX CHANGES: 10 | CORNER GOALS: 2
MOVES: 51 | PUSHES: 7 | DIR PUSHES: 5 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 33 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 4 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 49 | PUSHES: 12 | DIR PUSHES: 7 | REV PUSHES: 5 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 41 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 54 | PUSHES: 14 | DIR PUSHES: 7 | REV PUSHES: 6 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 35 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 4 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 41 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 58 | PUSHES: 16 | DIR PUSHES: 12 | REV PUSHES: 7 | BOX CHANGES: 10 | CORNER GOALS: 0
MOVES: 30 | PUSHES: 9 | DIR PUSHES: 5 | REV PUSHES: 4 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 48 | PUSHES: 18 | DIR PUSHES: 7 | REV PUSHES: 8 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 59 | PUSHES: 14 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 62 | PUSHES: 19 | DIR PUSHES: 7 | REV PUSHES: 9 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 69 | PUSHES: 20 | DIR PUSHES: 8 | REV PUSHES: 8 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 20 | PUSHES: 7 | DIR PUSHES: 5 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 48 | PUSHES: 18 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 32 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 14 | PUSHES: 8 | DIR PUSHES: 3 | REV PUSHES: 0 | BOX CHANGES: 1 | CORNER GOALS: 3
MOVES: 35 | PUSHES: 8 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 71 | PUSHES: 14 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 4 | CORNER GOALS: 0
MOVES: 56 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 86 | PUSHES: 22 | DIR PUSHES: 13 | REV PUSHES: 8 | BOX CHANGES: 8 | CORNER GOALS: 1
MOVES: 36 | PUSHES: 4 | DIR PUSHES: 4 | REV PUSHES: 3 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 39 | PUSHES: 14 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 54 | PUSHES: 20 | DIR PUSHES: 9 | REV PUSHES: 8 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 37 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 71 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 4 | BOX CHANGES: 3 | CORNER GOALS: 0
MOVES: 89 | PUSHES: 21 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 39 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 4 | BOX CHANGES: 2 | CORNER GOALS: 0
