MOVES: 54 | PUSHES: 15 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 79 | PUSHES: 24 | DIR PUSHES: 13 | REV PUSHES: 9 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 41 | PUSHES: 11 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 7 | CORNER GOALS: 0
MOVES: 73 | PUSHES: 14 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 31 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 52 | PUSHES: 12 | DIR PUSHES: 8 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 106 | PUSHES: 19 | DIR PUSHES: 14 | REV PUSHES: 7 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 34 | PUSHES: 8 | DIR PUSHES: 5 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 81 | PUSHES: 17 | DIR PUSHES: 14 | REV PUSHES: 6 | BOX CHANGES: 11 | CORNER GOALS: 2
MOVES: 41 | PUSHES: 10 | DIR PUSHES: 9 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 26 | PUSHES: 7 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 75 | PUSHES: 15 | DIR PUSHES: 12 | REV PUSHES: 2 | BOX CHANGES: 8 | CORNER GOALS: 0
MOVES: 50 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 63 | PUSHES: 11 | DIR PUSHES: 9 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 19 | PUSHES: 5 | DIR PUSHES: 4 | REV PUSHES: 1 | BOX CHANGES: 1 | CORNER GOALS: 3
MOVES: 35 | PUSHES: 11 | DIR PUSHES: 6 | REV PUSHES: 5 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 66 | PUSHES: 15 | DIR PUSHES: 10 | REV PUSHES: 2 | BOX CHANGES: 7 | CORNER GOALS: 1
MOVES: 61 | PUSHES: 11 | DIR PUSHES: 10 | REV PUSHES: 4 | BOX CHANGES: 6 | CORNER GOALS: 0
MOVES: 41 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 49 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 0
MOVES: 38 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 39 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 45 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 48 | PUSHES: 10 | DIR PUSHES: 8 | REV PUSHES: 5 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 80 | PUSHES: 20 | DIR PUSHES: 15 | REV PUSHES: 7 | BOX CHANGES: 10 | CORNER GOALS: 1
MOVES: 24 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 43 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 41 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 22 | PUSHES: 7 | DIR PUSHES: 5 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 35 | PUSHES: 8 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 62 | PUSHES: 14 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 18 | PUSHES: 6 | DIR PUSHES: 3 | REV PUSHES: 1 | BOX CHANGES: 1 | CORNER GOALS: 2
MOVES: 50 | PUSHES: 17 | DIR PUSHES: 13 | REV PUSHES: 5 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 37 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 55 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 67 | PUSHES: 16 | DIR PUSHES: 11 | REV PUSHES: 2 | BOX CHANGES: 7 | CORNER GOALS: 3
MOVES: 35 | PUSHES: 10 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 40 | PUSHES: 14 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 35 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 4 | BOX CHANGES: 6 | CORNER GOALS: 3
MOVES: 31 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 20 | PUSHES: 6 | DIR PUSHES: 3 | REV PUSHES: 1 | BOX CHANGES: 1 | CORNER GOALS: 2
MOVES: 42 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 0 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 55 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 67 | PUSHES: 12 | DIR PUSHES: 11 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 38 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 4 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 54 | PUSHES: 11 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 55 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 37 | PUSHES: 10 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 44 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 34 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 68 | PUSHES: 14 | DIR PUSHES: 11 | REV PUSHES: 5 | BOX CHANGES: 9 | CORNER GOALS: 1
MOVES: 68 | PUSHES: 13 | DIR PUSHES: 8 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 24 | PUSHES: 6 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 44 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 25 | PUSHES: 6 | DIR PUSHES: 4 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 33 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 4 | BOX CHANGES: 6 | CORNER GOALS: 3
MOVES: 47 | PUSHES: 11 | DIR PUSHES: 9 | REV PUSHES: 3 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 54 | PUSHES: 12 | DIR PUSHES: 10 | REV PUSHES: 2 | BOX CHANGES: 7 | CORNER GOALS: 1
MOVES: 45 | PUSHES: 14 | DIR PUSHES: 9 | REV PUSHES: 3 | BOX CHANGES: 7 | CORNER GOALS: 3
MOVES: 48 | PUSHES: 12 | DIR PUSHES: 8 | REV PUSHES: 0 | BOX CHANGES: 5 | CORNER GOALS: 0
MOVES: 57 | PUSHES: 15 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 43 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 36 | PUSHES: 8 | DIR PUSHES: 5 | REV PUSHES: 3 | BOX CHANGES: 2 | CORNER GOALS: 0
MOVES: 42 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 35 | PUSHES: 13 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 37 | PUSHES: 10 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 0
